strike,lastPrice,lastTradeDate,CP,exp,S0,ttm,exp_month,r,in_out,F,q,imp_vol,w,y
5110.0,1757.4,2025-10-31 14:09:01+00:00,0,2025-11-28,6728.7998046875,0.08333333333333333,2511,0.045,in,6737.233874251939,0.029968276417488546,0.9266724423976698,0.07156015129160521,-0.27645003205600344
5170.0,1706.23,2025-10-31 19:46:54+00:00,0,2025-11-28,6728.7998046875,0.08333333333333333,2511,0.045,in,6737.233874251939,0.029968276417488546,0.9202680409953374,0.070574438939783,-0.26477674775127874
5175.0,1639.26,2025-10-24 18:50:49+00:00,0,2025-11-21,6728.7998046875,0.05555555555555555,2511,0.045,in,6737.233874251939,0.02245241462623282,0.9363912855935247,0.048712702207527436,-0.2638100971201837
5200.0,1555.0,2025-10-20 20:13:38+00:00,0,2025-11-19,6728.7998046875,0.047619047619047616,2511,0.045,in,6737.233874251939,0.018694483730604956,0.6885548370991315,0.02257656017583864,-0.2589908106842349
5250.0,1617.08,2025-10-30 15:55:29+00:00,0,2025-11-28,6728.7998046875,0.08333333333333333,2511,0.045,in,6737.233874251939,0.029968276417488546,0.8597833133397689,0.06160227882479259,-0.24942135966808412
5300.0,1442.41,2025-10-23 17:08:05+00:00,0,2025-11-11,6728.7998046875,0.015873015873015872,2511,0.045,in,6737.233874251939,-0.03391654880818512,1.0294826980568899,0.016822771834896718,-0.2399426157135403
5300.0,1455.0,2025-10-20 20:06:46+00:00,0,2025-11-19,6728.7998046875,0.047619047619047616,2511,0.045,in,6737.233874251939,0.018694483730604956,0.6444739777086012,0.019778414663978405,-0.2399426157135403
5300.0,1446.88,2025-10-20 16:03:20+00:00,0,2025-11-21,6728.7998046875,0.05555555555555555,2511,0.045,in,6737.233874251939,0.02245241462623282,0.49390746398535185,0.013552476832246757,-0.2399426157135403
5300.0,1566.84,2025-10-27 13:30:04+00:00,0,2025-11-28,6728.7998046875,0.08333333333333333,2511,0.045,in,6737.233874251939,0.029968276417488546,0.8358681486805685,0.0582229634982234,-0.2399426157135403
5350.0,1415.06,2025-10-23 18:33:56+00:00,0,2025-11-21,6728.7998046875,0.05555555555555555,2511,0.045,in,6737.233874251939,0.02245241462623282,0.6317338547796201,0.02217153684859545,-0.2305528753637014
