strike,lastPrice,lastTradeDate,CP,exp,S0,ttm,exp_month,r,in_out,F,q,imp_vol
5200.0,1717.07,2025-10-30 02:41:14+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,2.821498452515132
5300.0,1609.13,2025-10-30 02:07:18+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,2.4679608191172404
6725.0,171.42,2025-10-30 06:55:54+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.2818523289336919
6745.0,155.4,2025-10-30 06:06:33+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.30480212900651665
6775.0,146.17,2025-10-30 03:21:00+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.4279221125344098
6785.0,114.8,2025-10-30 06:06:41+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.23918624044747663
6800.0,94.27,2025-10-30 07:06:03+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.15303247510990012
6805.0,104.64,2025-10-30 01:22:39+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.28837384781059283
6810.0,90.1,2025-10-30 08:06:40+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.2032825947268536
6815.0,87.57,2025-10-30 06:55:36+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.21615064862333405
6820.0,81.74,2025-10-30 07:11:23+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.20094416206803087
6825.0,75.06,2025-10-30 05:01:27+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.1786718234191597
6840.0,67.4,2025-10-30 06:11:29+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.20675043390320266
6845.0,64.6,2025-10-30 06:10:50+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.21161770051065237
6850.0,61.28,2025-10-30 07:14:10+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.21223740548453035
6855.0,76.61,2025-10-30 03:22:24+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.3259858645536733
6860.0,48.49,2025-10-30 04:23:40+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.17324648736224615
6865.0,49.0,2025-10-30 06:14:54+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.1962574143891125
6870.0,50.8,2025-10-30 04:38:37+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.22512748577414674
6875.0,43.2,2025-10-30 06:11:29+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.1973580992563332
6880.0,37.29,2025-10-30 07:11:23+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.17930660713686078
6885.0,32.4,2025-10-30 08:28:29+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.166756008282069
6890.0,29.27,2025-10-30 09:02:54+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,in,6888.269691043844,0.12986602044250029,0.16374053827967083
6895.0,23.6,2025-10-30 09:33:04+00:00,0,2025-10-31,6890.58984375,0.003968253968253968,2510,0.045,out,6888.269691043844,0.12986602044250029,0.14524575800653003
